year,chomage,inflation
1895,7,-1.0869565217391242
1896,6.7,0
1897,6.9,-2.19780219780219
1898,7.3,1.1235955056179803
1899,6.6,0
1900,6.8,1.1111111111111072
1901,7.8,0
1902,9.9,0
1903,9.4,-1.098901098901095
1904,10.2,0
1905,9,0
1906,7.6,1.1111111111111072
1907,7,1.098901098901095
1908,8.6,1.0869565217391353
1909,7.3,0
1910,5.8,1.0752688172043001
1911,5.7,4.255319148936176
1912,5.4,0
1913,4.7,0
1921,5,-13.114754098360649
1922,2,-3.7735849056603765
1923,2,11.764705882352944
1924,3,14.035087719298245
1925,3,6.153846153846154
1926,3,30.434782608695656
1927,11,4.444444444444451
1928,4,0
1929,1,6.382978723404276
1930,2,1.0000000000000009
1931,6.5,-3.960396039603953
1932,15.4,-9.278350515463918
1933,14.1,-3.409090909090917
1934,13.8,-3.529411764705892
1935,14.5,-8.536585365853666
1936,10.4,6.666666666666665
1937,7.4,26.249999999999996
1938,7.8,13.861386138613852
1939,8.1,6.08695652173914
1950,2.319166666666667,9.859154929577475
1951,2.1175,16.666666666666675
1952,2.1175,12.08791208791209
1953,2.6216666666666666,-1.9607843137254832
1954,2.8233333333333333,0
1955,2.42,1.0000000000000009
1956,1.8150000000000002,2.9702970297029507
1957,1.4116666666666666,4.807692307692313
1958,1.6133333333333333,14.67889908256883
1959,1.9158333333333333,6.3999999999999835
1960,1.8150000000000002,3.759398496240607
1961,1.5125,2.898550724637694
1962,1.4116666666666664,4.929577464788726
1963,1.3108333333333333,4.697986577181212
1964,1.1091666666666666,3.205128205128216
1965,1.3108333333333333,3.105590062111818
1966,1.4116666666666666,2.9661726167345526
1967,1.8150000000000002,2.7917770943512554
1968,2.1175,4.5432048640203115
1969,2.319166666666667,6.045962841738928
1970,2.42,5.299641245626652
1971,2.67,5.397518655950906
1972,2.77,6.063003097182107
1973,2.69,7.380601063989056
1974,2.86,13.649317472813816
1975,4.08,11.685927249322647
1976,4.47,9.625495781555383
1977,5.01,9.494554671904298
1978,5.27,9.250558467244275
1979,6.03,10.646734171666461
1980,6.42,13.562578848301543
1981,7.54,13.314405568007137
1982,8.2,11.978471952380554
1983,7.9195,9.459548472353196
1984,9.5329,7.6738026224731914
1985,10.2584,5.831099738545142
1986,10.2316,2.5385259178140718
1987,10.7361,3.288898214001512
1988,10.1838,2.700815275081059
1989,9.6223,3.4983022070073977
1990,9.36,3.1942833802948156
1991,9.1341,3.2134073240969396
1992,10.2052,2.363760462693576
1993,11.3213,2.104462771246296
1994,12.5928,1.6555153292699964
1995,11.8356,1.796481420956031
1996,12.3673,1.9828836508972936
1997,12.5662,1.2039429402697088
1998,12.0749,0.651126867832974
1999,11.9808,0.5371416391346084
2000,10.2172,1.6759598872093884
2001,8.6104,1.6347807954959492
2002,8.7017,1.9234122872706205
2003,8.3065,2.098472191469214
2004,8.9136,2.1420896464023675
2005,8.4935,1.7458693638048528
2006,8.4478,1.6751244960872436
2007,7.6567,1.4879980595385423
2008,7.0634,2.812861949147938
2009,8.7363,0.08762047815749074
2010,8.8713,1.5311227042091868
2011,8.811,2.1115979517499994
2012,9.4002,1.9541953161352987
2013,9.9206,0.8637154978613282
2014,10.3594,0.507758822938098
2015,10.0568,0.037514380512226886
2016,9.41,0.18333486112471764
2017,9.02,1.0322827506460408
2018,8.6,1.8508150831551218
2019,8.41,1.1082549228827565
2020,8.01,0.4764988527251601
2021,7.9,1.6423183424042698
2022,7.3,5.223109441052132
2023,7.3,4.8745647710025874
2024,7.4,2.000510768706909
2025,7.7,0.9430812885995676
